geo_area;geo_prov;All DS TB patients in cohort;DS TB patients who completed treatment or were cured;DS TB patients who died;DS TB patients who were lost to follow up;Medical scheme coverage (ave);Number of TB tests conducted;Percentage of target tested for TB;Population density;TB DS client lost to follow up rate;TB DS death rate;TB MDR client death rate;TB/HIV co-infected client on ART rate (ETR.Net)
Steve Tshwete LM: MP313;MP;491;253;37;23;;;;;4,7;7,5;;94,93
Sundays River Valley LM: EC106;EC;762;407;42;154;;;;;20,2;5,5;;93,92
Swartland LM: WC015;WC;912;454;27;162;;;;;17,8;3;0;87,11
Swellendam LM: WC034;WC;409;221;18;46;;;;;11,2;4,4;0;100
T Mofutsanyana DM: DC19;FS;1818;997;173;98;11,2;22571;73,389;24,974;5,4;9,5;0;83,13
Thaba Chweu LM: MP321;MP;565;234;58;11;;;;;1,9;10,3;;95,56
Thaba N'chu SD: MAN_Thaba;FS;306;180;24;18;;;;;5,9;7,8;0;94,95
Thabazimbi LM: LIM361;LP;150;124;7;2;;;;;1,3;4,7;0;100
Theewaterskloof LM: WC031;WC;1240;646;29;232;;;;;18,7;2,3;0;92,39
Thembelihle LM: NC076;NC;115;74;4;4;;;;;3,5;3,5;;95,45
Thembisile Hani LM: MP315;MP;698;402;42;37;;;;;5,3;6;;89,23
Thulamela LM: LIM343;LP;625;257;18;9;;;;;1,4;2,9;33,3;93,79
Tokologo LM: FS182;FS;91;66;5;4;;;;;4,4;5,5;;100
Tsantsabane LM: NC085;NC;223;101;21;13;;;;;5,8;9,4;;88,89
Tshwane 1 SD: TSH_1;GP;2359;1131;178;132;;;;;5,6;7,5;66,7;78,33
Tshwane 2 SD: TSH_2;GP;944;502;28;45;;;;;4,8;3;0;91,05
Tshwane 3 SD: TSH_3;GP;2205;823;93;114;;;;;5,2;4,2;11,1;84,78
Tshwane 4 SD: TSH_4;GP;333;223;13;39;;;;;11,7;3,9;;94,81
Tshwane 5 SD: TSH_5;GP;384;272;17;48;;;;;12,5;4,4;;97,49
Tshwane 6 SD: TSH_6;GP;1120;530;51;76;;;;;6,8;4,6;0;91,09
Tshwane 7 SD: TSH_7;GP;293;131;29;27;;;;;9,2;9,9;;94,12
Tshwane MM: TSH;GP;7638;3612;409;481;30;118508;174,778;637,18;6,3;5,4;16,7;86,02
Tshwane MM: TSH_MM;GP;7638;3612;409;481;;;;;6,3;5,4;16,7;86,02
Tswaing LM: NW382;NW;392;278;8;19;;;;;4,8;2;0;100
Tswelopele LM: FS183;FS;183;122;5;20;;;;;10,9;2,7;;94,52
Ubuhlebezwe LM: KZN434;KZ;393;216;23;29;;;;;7,4;5,9;0;90,85
Ubuntu LM: NC071;NC;125;70;6;16;;;;;12,8;4,8;;100
Ugu DM: DC21;KZ;3903;2048;152;136;7,09;63958;133,811;174,852;3,5;3,9;0;97,77
Ulundi LM: KZN266;KZ;537;363;24;8;;;;;1,5;4,5;0;96,92
Umdoni LM: KZN212;KZ;850;370;21;6;;;;;0,71;2,5;0;98,44
uMfolozi LM: KZN281;KZ;242;207;24;11;;;;;4,5;9,9;;97,6
uMgungundlovu DM: DC22;KZ;3616;2068;144;141;7,94;114939;219,382;127,755;3,9;4;3,6;95,04
Umhlabuyalingana LM: KZN271;KZ;426;267;11;2;;;;;0,47;2,6;0;95
